Game loaded!
Abstraction ended!
Time: 3390, Expected Value: 0.12678180455816512
Time: 3400, Expected Value: 0.12678301377413048
Time: 3410, Expected Value: 0.1267633087673496
Time: 3420, Expected Value: 0.12679647416536544
Time: 3430, Expected Value: 0.1267861443016493
Time: 3440, Expected Value: 0.1267667236063746
Time: 3450, Expected Value: 0.1267456570099965
Time: 3460, Expected Value: 0.12674456474136314
Time: 3470, Expected Value: 0.12677607585301942
Time: 3480, Expected Value: 0.1267481649677369
Time: 3490, Expected Value: 0.12674109808650807
Time: 3500, Expected Value: 0.12676150531814856
Time: 3510, Expected Value: 0.1267547206087739
Time: 3520, Expected Value: 0.1267579229270973
Time: 3530, Expected Value: 0.12674328096383092
Time: 3540, Expected Value: 0.1267277041706214
Time: 3550, Expected Value: 0.1267288288032347
Time: 3560, Expected Value: 0.12672982050725295
Time: 3570, Expected Value: 0.1267439853636385
Time: 3580, Expected Value: 0.12672125784813948
Time: 3590, Expected Value: 0.1267143235676417
Time: 3600, Expected Value: 0.1267173815449031
Time: 3610, Expected Value: 0.1267157214287218
Time: 3620, Expected Value: 0.1267119211835232
Time: 3630, Expected Value: 0.12670971951709115
Time: 3640, Expected Value: 0.12670981042529267
Time: 3650, Expected Value: 0.12669572417467148
Time: 3660, Expected Value: 0.1266992885731133
Time: 3670, Expected Value: 0.12669276158927248
Time: 3680, Expected Value: 0.1266861520081816
Time: 3690, Expected Value: 0.12669690552625154
Time: 3700, Expected Value: 0.126707017566668
Time: 3710, Expected Value: 0.12669270214111078
Time: 3720, Expected Value: 0.1266809323766349
Time: 3730, Expected Value: 0.12669220922863123
Time: 3740, Expected Value: 0.12668879205867112
Time: 3750, Expected Value: 0.12668658584380998
Time: 3760, Expected Value: 0.12669352485602853
Time: 3770, Expected Value: 0.1267053020805589
Time: 3780, Expected Value: 0.12670095449881086
Time: 3790, Expected Value: 0.12669675553711612
Time: 3800, Expected Value: 0.12669448413785134
Time: 3810, Expected Value: 0.12668856069121956
Time: 3820, Expected Value: 0.12669972387965744
Time: 3830, Expected Value: 0.12669505415550547
Time: 3840, Expected Value: 0.1266792141553464
Time: 3850, Expected Value: 0.12666291303789595
Time: 3860, Expected Value: 0.12666795608529932
Time: 3870, Expected Value: 0.1266674475797766
Time: 3880, Expected Value: 0.12667227104157233
Time: 3890, Expected Value: 0.12666802731081597
Time: 3900, Expected Value: 0.12667131954598398
Time: 3910, Expected Value: 0.12665305743860444
Time: 3920, Expected Value: 0.1266497120298128
Time: 3930, Expected Value: 0.1266533641858111
Time: 3940, Expected Value: 0.12665129055498653
Time: 3950, Expected Value: 0.12664981954980573
Time: 3960, Expected Value: 0.1266562670215336
Time: 3970, Expected Value: 0.1266542103398412
Time: 3980, Expected Value: 0.12664300768152173
Time: 3990, Expected Value: 0.12663791992614643
Time: 4000, Expected Value: 0.12663805986548915
Time: 4010, Expected Value: 0.12664129816564895
Time: 4020, Expected Value: 0.12665213997875346
Time: 4030, Expected Value: 0.12665663053372472
Time: 4040, Expected Value: 0.1266438018580845
Time: 4050, Expected Value: 0.12663739569694898
Time: 4060, Expected Value: 0.12663489222045832
Time: 4070, Expected Value: 0.1266433064398063
Time: 4080, Expected Value: 0.1266342521376353
Time: 4090, Expected Value: 0.12664257098787474
Time: 4100, Expected Value: 0.12663447071934913
Time: 4110, Expected Value: 0.12663503229529624
Time: 4120, Expected Value: 0.1266265999988639
Time: 4130, Expected Value: 0.12662828343997054
Time: 4140, Expected Value: 0.12662414437379282
Time: 4150, Expected Value: 0.12662225975751873
Time: 4160, Expected Value: 0.12663807080540251
Time: 4170, Expected Value: 0.1266284927745661
Time: 4180, Expected Value: 0.1266192205902891
Time: 4190, Expected Value: 0.12661345872641527
Time: 4200, Expected Value: 0.12662225634568472
Time: 4210, Expected Value: 0.1266222413307535
Time: 4220, Expected Value: 0.12662884693458695
Time: 4230, Expected Value: 0.12662964357855305
Time: 4240, Expected Value: 0.12662251825929988
Time: 4250, Expected Value: 0.12662274395037376
Time: 4260, Expected Value: 0.12662212478560425
Time: 4270, Expected Value: 0.12661709269943808
Time: 4280, Expected Value: 0.12661838428110073
Time: 4290, Expected Value: 0.12663477208125523
Time: 4300, Expected Value: 0.1266280176314963
Time: 4310, Expected Value: 0.12662551638577946
Time: 4320, Expected Value: 0.12662230584694145
Time: 4330, Expected Value: 0.12662569378764627
Time: 4340, Expected Value: 0.12662655038956033
Time: 4350, Expected Value: 0.12663513880082627
Time: 4360, Expected Value: 0.1266330039699453
Time: 4370, Expected Value: 0.12663092567555317
Time: 4380, Expected Value: 0.12662796671741972
Time: 4390, Expected Value: 0.1266254922204254
Time: 4400, Expected Value: 0.1266264029546251
Time: 4410, Expected Value: 0.12662781662890626
Time: 4420, Expected Value: 0.1266337092997039
Time: 4430, Expected Value: 0.12662583001415006
Time: 4440, Expected Value: 0.12661634441610362
Time: 4450, Expected Value: 0.1266129176747144
Time: 4460, Expected Value: 0.1266235793116105
Time: 4470, Expected Value: 0.12662021031235016
Time: 4480, Expected Value: 0.1266217334295243
Time: 4490, Expected Value: 0.12661862182315153
Time: 4500, Expected Value: 0.12661887661910737
Time: 4510, Expected Value: 0.12661542412081933
Time: 4520, Expected Value: 0.126614756895999
Time: 4530, Expected Value: 0.12660874720852341
Time: 4540, Expected Value: 0.12660081507627668
Time: 4550, Expected Value: 0.12661143529027757
Time: 4560, Expected Value: 0.1266093948345797
Time: 4570, Expected Value: 0.12659765610218093
Time: 4580, Expected Value: 0.12659221063358717
Time: 4590, Expected Value: 0.12659521430137924
Time: 4600, Expected Value: 0.12658993590513712
Time: 4610, Expected Value: 0.12660132991876644
Time: 4620, Expected Value: 0.12661854680130738
Time: 4630, Expected Value: 0.12661181917159214
Time: 4640, Expected Value: 0.12660388710981565
Time: 4650, Expected Value: 0.12660076644291973
Time: 4660, Expected Value: 0.1266102058327473
Time: 4670, Expected Value: 0.12659871365145975
Time: 4680, Expected Value: 0.12660646200143133
Time: 4690, Expected Value: 0.12660176926633282
Time: 4700, Expected Value: 0.12659784148694064
Time: 4710, Expected Value: 0.12660080478789293
Time: 4720, Expected Value: 0.12660068565568788
Time: 4730, Expected Value: 0.12660160389379763
Time: 4740, Expected Value: 0.1265894434467026
Time: 4750, Expected Value: 0.12661071524099687
Time: 4760, Expected Value: 0.1266184884436737
Time: 4770, Expected Value: 0.12661393254364234
Time: 4780, Expected Value: 0.12661461268952667
Time: 4790, Expected Value: 0.1266133276812897
Time: 4800, Expected Value: 0.12661496244889292
Time: 4810, Expected Value: 0.12661060337454755
Time: 4820, Expected Value: 0.12662185109563145
Time: 4830, Expected Value: 0.12661406380859347
Time: 4840, Expected Value: 0.12660779104955872
Time: 4850, Expected Value: 0.12660607400512755
Time: 4860, Expected Value: 0.1266067605205375
Time: 4870, Expected Value: 0.12660991603380645
Time: 4880, Expected Value: 0.12659988233257458
Time: 4890, Expected Value: 0.12659992723247102
Time: 4900, Expected Value: 0.12658982068604807
Time: 4910, Expected Value: 0.12658774212441404
Time: 4920, Expected Value: 0.12658730701780513
Time: 4930, Expected Value: 0.12659021446107782
Time: 4940, Expected Value: 0.12658833308038753
Time: 4950, Expected Value: 0.12658297594403892
Time: 4960, Expected Value: 0.12659270813458365
Time: 4970, Expected Value: 0.12659146175021363
Time: 4980, Expected Value: 0.12658259031915098
Time: 4990, Expected Value: 0.126581533464241
Blue print strategy done in abstract game!
Blue print mapped on the real game
Infoset: /9?/P1:c/P2:c/C:K/P1:c/P2:raise4 with strategies c:0.0 f:0.9961 raise4:0.0039 
Infoset: /K?/P1:c/P2:c/C:Q with strategies c:9.5e-05 raise4:0.999905 
Infoset: /K?/P1:c/P2:c/C:Q/P1:c/P2:raise4 with strategies c:0.17804 f:0.0 raise4:0.82196 
Infoset: /K?/P1:c/P2:c/C:T with strategies c:0.231423 raise4:0.768577 
